
codice_cliente,value_segment,life_stage,num_products,engagement_level,strategic_segment,nba_recommendation,urgency_tier,cluster,num_claims,total_claim_amount,num_complaints,num_interactions,conversion_rate,casa_owned,salute_owned,investimento_owned,pip_owned
9513,Entry-Retail,Established Family,1,At-Risk,Entry-Retail Established Family,Casa,HIGH,-1,1.0,8637.0,2.0,1.0,0.0,0,0,0,0
9514,Mid-Retail,Pre-Retirement,0,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9515,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,1.0,1851.0,2.0,4.0,0.0,0,0,0,0
9516,Mid-Retail,Young Family,2,Neutral,Mid-Retail Young Family,Casa,MEDIUM,-1,1.0,17697.0,3.0,1.0,0.0,0,0,1,0
9517,Mid-Retail,Young Single,0,At-Risk,Mid-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9518,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9519,Upper-Retail,Established Professional,2,Neutral,Upper-Retail Established Professional,Casa,MEDIUM,2,0.0,0.0,2.0,0.0,0.0,0,0,0,0
9520,Upper-Retail,Young Single,2,At-Risk,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,3.0,2.0,0.0,0,0,1,0
9521,Mid-Retail,Retired,2,Champion,Mid-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,2.0,5.0,0.0,0,0,0,0
9522,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,HIGH,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9523,Mid-Retail,Established Family,2,Neutral,Mid-Retail Established Family,Casa,LOW,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9524,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,1.0,5069.0,2.0,2.0,0.0,0,0,0,0
9525,Upper-Retail,Established Family,2,Champion,Upper-Retail Established Family,Casa,HIGH,2,0.0,0.0,3.0,5.0,0.0,0,0,0,0
9526,Upper-Retail,Pre-Retirement,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,0,1.0,23778.0,3.0,3.0,0.3333333333333333,0,0,1,0
9527,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,LOW,-1,2.0,45967.0,2.0,0.0,0.0,0,0,0,0
9528,Mid-Retail,Young Professional,2,At-Risk,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9529,Mid-Retail,Young Single,0,At-Risk,Mid-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9530,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9531,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9532,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.5,0,0,0,0
9533,Mid-Retail,Young Family,2,Champion,Mid-Retail Young Family,Casa,HIGH,-1,0.0,0.0,3.0,3.0,0.0,0,0,1,0
9534,Mid-Retail,Pre-Retirement,1,At-Risk,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9535,Entry-Retail,Established Family,2,Neutral,Entry-Retail Established Family,Casa,LOW,-1,0.0,0.0,2.0,3.0,0.0,0,0,0,0
9536,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9537,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,MEDIUM,-1,0.0,0.0,1.0,4.0,0.0,0,0,0,0
9538,Upper-Retail,Pre-Retirement,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,4,1.0,31864.0,2.0,3.0,0.6666666666666666,0,0,1,0
9539,Mid-Retail,Retired,2,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,2.0,2.0,0.0,0,0,1,0
9540,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9541,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,MEDIUM,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9542,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
9543,Mid-Retail,Young Family,1,Neutral,Mid-Retail Young Family,Casa,MEDIUM,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
9544,Mid-Retail,Retired,1,Champion,Mid-Retail Retired,Casa,HIGH,-1,0.0,0.0,1.0,3.0,0.0,0,0,0,0
9545,Upper-Retail,Young Professional,2,At-Risk,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,2.0,1.0,0.0,0,0,1,0
9546,Mid-Retail,Young Family,1,Neutral,Mid-Retail Young Family,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9547,Upper-Retail,Pre-Retirement,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,0,1.0,30117.0,4.0,2.0,0.0,0,0,1,0
9548,Upper-Retail,Established Professional,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,4.0,3.0,0.0,0,0,1,0
9549,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9550,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,4.0,3.0,0.0,0,0,1,0
9551,Mid-Retail,Young Family,2,At-Risk,Mid-Retail Young Family,Casa,LOW,-1,1.0,11442.0,3.0,1.0,0.0,0,0,1,0
9552,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9553,Upper-Retail,Pre-Retirement,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,2.0,3.0,0.0,0,0,1,0
9554,Upper-Retail,Established Family,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,HIGH,3,0.0,0.0,3.0,2.0,0.0,0,0,1,0
9555,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,2.0,3.0,0.0,0,0,0,0
9556,Upper-Retail,Pre-Retirement,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,2.0,3.0,0.0,0,0,1,0
9557,Upper-Retail,Pre-Retirement,1,Champion,Upper-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,2.0,3.0,0.0,0,0,0,0
9558,Mid-Retail,Pre-Retirement,0,Neutral,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9559,Mid-Retail,Young Professional,3,Champion,Mid-Retail Young Professional,Casa,CRITICAL,-1,0.0,0.0,4.0,5.0,0.0,0,0,1,0
9560,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9561,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,1.0,14976.0,3.0,2.0,0.0,0,0,1,0
9562,Mid-Retail,Established Family,2,Neutral,Mid-Retail Established Family,Casa,LOW,-1,1.0,46663.0,3.0,3.0,0.3333333333333333,0,0,0,0
9563,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9564,Mid-Retail,Young Professional,0,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9565,Upper-Retail,Pre-Retirement,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,3.0,2.0,0.0,0,0,1,0
9566,Mid-Retail,Retired,2,Neutral,Mid-Retail Retired,Casa,MEDIUM,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9567,Upper-Retail,Pre-Retirement,1,Neutral,Upper-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9568,Mid-Retail,Young Professional,0,At-Risk,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,0.0,3.0,0.0,0,0,0,0
9569,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9570,Mid-Retail,Established Professional,2,Champion,Mid-Retail Established Professional,Casa,CRITICAL,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
9571,Entry-Retail,Young Single,0,Champion,Entry-Retail Young Single,Casa,HIGH,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9572,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,HIGH,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9573,Upper-Retail,Pre-Retirement,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,2.0,2.0,0.0,0,0,1,0
9574,Upper-Retail,Retired,1,Champion,Upper-Retail Retired,Casa,CRITICAL,-1,2.0,23113.0,2.0,3.0,0.0,0,0,0,0
9575,Entry-Retail,Young Professional,1,Neutral,Entry-Retail Young Professional,Casa,HIGH,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9576,Upper-Retail,Retired,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,2.0,4.0,0.25,0,0,1,0
9577,Entry-Retail,Young Family,2,Champion,Entry-Retail Young Family,Casa,CRITICAL,-1,1.0,47429.0,2.0,0.0,0.0,0,0,0,0
9578,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9579,Entry-Retail,Retired,0,At-Risk,Entry-Retail Retired,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9580,Mid-Retail,Established Family,2,At-Risk,Mid-Retail Established Family,Casa,MEDIUM,-1,0.0,0.0,3.0,1.0,0.0,0,0,0,0
9581,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9582,Mid-Retail,Pre-Retirement,1,Neutral,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9583,Mid-Retail,Established Family,3,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,3.0,1.0,0.0,0,0,1,0
9584,Mid-Retail,Established Professional,0,Neutral,Mid-Retail Established Professional,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9585,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9586,Mid-Retail,Pre-Retirement,0,Neutral,Mid-Retail Pre-Retirement,Casa,MEDIUM,-1,0.0,0.0,0.0,3.0,0.0,0,0,0,0
9587,Upper-Retail,Pre-Retirement,2,Champion,Upper-Retail Pre-Retirement,Casa,CRITICAL,2,1.0,18168.0,3.0,3.0,0.0,0,0,0,0
9588,Upper-Retail,Established Family,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,2.0,4.0,0.25,0,0,1,0
9589,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,5.0,0.0,0,0,0,0
9590,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9591,Mid-Retail,Young Professional,2,At-Risk,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,2.0,0.0,0,0,1,0
9592,Mid-Retail,Pre-Retirement,0,At-Risk,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9593,Mid-Retail,Established Professional,0,At-Risk,Mid-Retail Established Professional,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9594,Mid-Retail,Young Single,0,At-Risk,Mid-Retail Young Single,Casa,HIGH,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9595,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9596,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
9597,Entry-Retail,Retired,0,At-Risk,Entry-Retail Retired,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9598,Mid-Retail,Young Professional,1,At-Risk,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9599,Upper-Retail,Young Single,1,Neutral,Upper-Retail Young Single,Casa,LOW,-1,0.0,0.0,2.0,2.0,0.5,0,0,0,0
9600,Entry-Retail,Established Family,2,Champion,Entry-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,3.0,2.0,0.0,0,0,0,0
9601,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9602,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,HIGH,-1,0.0,0.0,2.0,3.0,0.0,0,0,1,0
9603,Mid-Retail,Retired,0,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9604,Upper-Retail,Established Family,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,5.0,4.0,0.0,0,0,1,0
9605,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,LOW,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9606,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,3.0,3.0,0.0,0,0,0,0
9607,Mid-Retail,Established Professional,1,Neutral,Mid-Retail Established Professional,Casa,MEDIUM,-1,1.0,6036.0,1.0,2.0,0.5,0,0,0,0
9608,Entry-Retail,Young Family,1,At-Risk,Entry-Retail Young Family,Casa,MEDIUM,-1,0.0,0.0,1.0,0.0,0.0,0,0,0,0
9609,Mid-Retail,Established Family,2,Neutral,Mid-Retail Established Family,Casa,MEDIUM,-1,1.0,12223.0,2.0,3.0,0.0,0,0,0,0
9610,Mid-Retail,Pre-Retirement,1,Neutral,Mid-Retail Pre-Retirement,Casa,MEDIUM,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9611,Entry-Retail,Young Professional,0,Neutral,Entry-Retail Young Professional,Casa,MEDIUM,-1,0.0,0.0,0.0,4.0,0.5,0,0,0,0
9612,Mid-Retail,Pre-Retirement,1,At-Risk,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,1.0,3.0,0.0,0,0,0,0
9613,Mid-Retail,Pre-Retirement,0,Neutral,Mid-Retail Pre-Retirement,Casa,MEDIUM,-1,0.0,0.0,0.0,5.0,0.0,0,0,0,0
9614,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,3.0,0.3333333333333333,0,0,0,0
9615,Mid-Retail,Young Professional,1,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9616,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9617,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9618,Mid-Retail,Young Professional,1,Champion,Mid-Retail Young Professional,Casa,HIGH,-1,0.0,0.0,1.0,2.0,0.5,0,0,0,0
9619,Mid-Retail,Young Professional,1,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.0,0,0,1,0
9620,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,MEDIUM,-1,0.0,0.0,1.0,4.0,0.0,0,0,0,0
9621,Entry-Retail,Young Professional,0,At-Risk,Entry-Retail Young Professional,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9622,Mid-Retail,Young Single,2,At-Risk,Mid-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,2.0,0.0,0.0,0,0,1,0
9623,Mid-Retail,Established Professional,2,Champion,Mid-Retail Established Professional,Casa,CRITICAL,-1,0.0,0.0,3.0,2.0,0.0,0,0,0,0
9624,Upper-Retail,Retired,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,1,0.0,0.0,3.0,7.0,0.14285714285714285,0,0,1,0
9625,Mid-Retail,Established Professional,2,Champion,Mid-Retail Established Professional,Casa,CRITICAL,-1,1.0,7995.0,3.0,1.0,0.0,0,0,0,0
9626,Mid-Retail,Established Family,1,At-Risk,Mid-Retail Established Family,Casa,HIGH,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9627,Upper-Retail,Established Family,1,At-Risk,At-Risk High Value,Retention,MEDIUM,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
9628,Mid-Retail,Established Family,3,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,2.0,38618.0,4.0,3.0,0.0,0,0,1,0
9629,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9630,Mid-Retail,Young Professional,2,Champion,Mid-Retail Young Professional,Casa,CRITICAL,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
9631,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,LOW,-1,0.0,0.0,1.0,5.0,0.0,0,0,0,0
9632,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,1.0,16796.0,2.0,1.0,0.0,0,0,0,0
9633,Entry-Retail,Established Family,0,At-Risk,Entry-Retail Established Family,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9634,Mid-Retail,Retired,1,Champion,Mid-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9635,Mid-Retail,Pre-Retirement,1,At-Risk,Mid-Retail Pre-Retirement,Casa,MEDIUM,-1,0.0,0.0,1.0,0.0,0.0,0,0,0,0
9636,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,1.0,19730.0,2.0,2.0,0.5,0,0,0,0
9637,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,MEDIUM,-1,0.0,0.0,2.0,0.0,0.0,0,0,0,0
9638,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,6.0,0.0,0,0,1,0
9639,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,MEDIUM,-1,0.0,0.0,3.0,1.0,0.0,0,0,0,0
9640,Entry-Retail,Established Professional,1,Neutral,Entry-Retail Established Professional,Casa,HIGH,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9641,Mid-Retail,Pre-Retirement,2,Neutral,Mid-Retail Pre-Retirement,Casa,MEDIUM,-1,1.0,42985.0,3.0,2.0,0.0,0,0,0,0
9642,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,LOW,-1,1.0,23800.0,1.0,1.0,0.0,0,0,0,0
9643,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9644,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,1.0,3314.0,3.0,3.0,0.3333333333333333,0,0,1,0
9645,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,HIGH,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9646,Upper-Retail,Established Family,1,Neutral,Upper-Retail Established Family,Casa,HIGH,-1,1.0,2206.0,2.0,0.0,0.0,0,0,0,0
9647,Mid-Retail,Established Family,2,Neutral,Mid-Retail Established Family,Casa,LOW,-1,0.0,0.0,2.0,5.0,0.0,0,0,0,0
9648,Upper-Retail,Young Single,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,2.0,2.0,0.0,0,0,1,0
9649,Mid-Retail,Retired,0,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,0.0,5.0,0.0,0,0,0,0
9650,Entry-Retail,Pre-Retirement,1,Champion,Entry-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,1.0,5.0,0.0,0,0,0,0
9651,Mid-Retail,Young Professional,2,Champion,Mid-Retail Young Professional,Casa,CRITICAL,-1,0.0,0.0,3.0,1.0,0.0,0,0,1,0
9652,Mid-Retail,Young Single,2,Neutral,Mid-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,2.0,3.0,0.0,0,0,1,0
9653,Mid-Retail,Pre-Retirement,0,Neutral,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.5,0,0,0,0
9654,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,1.0,3.0,0.0,0,0,0,0
9655,Upper-Retail,Young Family,2,Neutral,Affluent Young Families,Casa+Salute,LOW,3,0.0,0.0,3.0,1.0,0.0,0,0,1,0
9656,Mid-Retail,Young Professional,1,At-Risk,Mid-Retail Young Professional,Casa,HIGH,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
9657,Mid-Retail,Young Single,0,At-Risk,Mid-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9658,Entry-Retail,Established Professional,1,At-Risk,Entry-Retail Established Professional,Casa,LOW,-1,0.0,0.0,1.0,0.0,0.0,0,0,0,0
9659,Mid-Retail,Young Single,2,At-Risk,Mid-Retail Young Single,Casa,LOW,-1,0.0,0.0,2.0,0.0,0.0,0,0,1,0
9660,Upper-Retail,Young Professional,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,3.0,0.0,0.0,0,0,1,0
9661,Mid-Retail,Young Professional,2,Champion,Mid-Retail Young Professional,Casa,HIGH,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
9662,Upper-Retail,Young Single,1,Neutral,Upper-Retail Young Single,Casa,LOW,-1,1.0,15093.0,1.0,2.0,0.0,0,0,0,0
9663,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,3.0,0.0,0,0,0,0
9664,Mid-Retail,Established Family,3,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,4.0,2.0,0.0,0,0,1,0
9665,Mid-Retail,Young Professional,1,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,1.0,13292.0,2.0,0.0,0.0,0,0,1,0
9666,Mid-Retail,Young Single,1,At-Risk,Mid-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,1.0,0.0,0.0,0,0,1,0
9667,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,LOW,-1,0.0,0.0,1.0,0.0,0.0,0,0,1,0
9668,Mid-Retail,Young Family,2,Neutral,Mid-Retail Young Family,Casa,LOW,-1,0.0,0.0,2.0,5.0,0.2,0,0,1,0
9669,Mid-Retail,Young Professional,1,Champion,Mid-Retail Young Professional,Casa,CRITICAL,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
9670,Upper-Retail,Established Family,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,3,0.0,0.0,2.0,1.0,0.0,0,0,1,0
9671,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,HIGH,-1,1.0,760.0,2.0,5.0,0.2,0,0,0,0
9672,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
9673,Mid-Retail,Young Professional,0,At-Risk,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
9674,Upper-Retail,Pre-Retirement,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,2.0,3.0,0.0,0,0,1,0
9675,Upper-Retail,Young Professional,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,HIGH,3,0.0,0.0,2.0,3.0,0.0,0,0,1,0
